Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
197506,    4.34,    6.09,    4.98,    5.98,    7.03,    5.36,    3.18,    5.28,    7.28,    4.17,    6.06,    5.61,    6.50,    7.64,    6.19
197507,   -5.72,   -6.30,   -7.36,   -5.75,   -5.91,   -5.17,   -6.24,   -6.84,   -5.48,   -7.90,   -6.45,   -6.18,   -5.17,   -6.06,   -5.72
197508,   -2.24,   -0.68,   -3.55,   -3.75,   -6.53,   -2.29,   -2.19,   -0.22,   -1.46,   -3.12,   -4.19,   -2.79,   -4.87,   -6.37,   -6.72
197509,   -3.02,   -4.08,   -4.45,   -5.40,   -5.54,   -1.99,   -4.16,   -4.34,   -3.72,   -4.04,   -5.14,   -5.92,   -4.62,   -4.77,   -6.66
197510,    5.78,    6.55,    6.94,    3.79,    2.43,    5.44,    6.15,    6.74,    6.34,    7.71,    5.69,    5.36,    2.20,    3.57,    0.82
197511,    1.83,    4.35,    3.31,    3.39,    2.02,    2.17,    1.37,    5.06,    3.09,    3.64,    2.85,    4.00,    2.52,    2.41,    1.36
197512,   -0.57,   -1.81,   -1.51,   -1.09,   -0.12,    0.06,   -1.15,   -1.63,   -2.02,   -2.26,   -0.47,   -1.00,   -1.21,   -0.70,    0.68
197601,   10.77,   12.69,   15.82,   17.12,   19.30,    9.82,   12.10,   12.89,   12.44,   14.80,   16.87,   17.96,   16.18,   18.93,   19.82
197602,   -0.41,   -0.23,    1.93,    4.95,   11.46,   -0.65,   -0.08,   -1.38,    1.18,    1.47,    2.54,    3.84,    6.33,    9.86,   13.77
197603,    3.05,    2.27,    2.54,    2.11,    2.55,    2.56,    3.74,    3.21,    0.95,    2.50,    2.60,    2.04,    2.20,    3.28,    1.71
197604,   -0.43,   -0.87,   -2.36,   -2.75,   -3.11,    0.46,   -1.53,   -0.65,   -1.25,   -2.26,   -2.50,   -2.04,   -3.60,   -2.28,   -3.86
197605,   -0.99,   -0.98,   -0.48,   -0.73,   -2.79,   -0.95,   -1.05,   -1.10,   -0.76,   -1.40,    0.76,   -1.24,    0.03,   -2.11,   -3.61
197606,    3.82,    4.38,    5.70,    6.68,    5.60,    4.17,    3.17,    4.04,    5.20,    4.90,    6.68,    5.88,    7.67,    6.08,    5.01
197607,    0.00,   -0.92,   -1.41,   -1.82,   -1.40,    0.30,   -0.43,   -1.35,   -0.21,   -1.45,   -1.36,   -2.17,   -1.27,   -0.65,   -2.37
197608,    1.03,   -1.44,    0.37,   -2.49,   -3.99,    1.27,    0.64,   -1.52,   -1.32,    0.65,    0.03,   -2.50,   -2.48,   -3.45,   -4.65
